id,video_num,video_id,comment_text
1G4isv_Fylg3,46,1G4isv_Fylg,"NADSON, O FERINHA"
1G4isv_Fylg4,46,1G4isv_Fylg,Watching from time to time from 2012 up to 2023 and enjoying every time😢❤
YykjpeuMNEk0,47,YykjpeuMNEk,Non duality.  Advaita
YykjpeuMNEk1,47,YykjpeuMNEk,00:31 mini Soraka xD
YykjpeuMNEk2,47,YykjpeuMNEk,30/9/2023
YykjpeuMNEk3,47,YykjpeuMNEk,"It makes me feel at the same time nostalgic, sad, happy, motivated. What master piece 🔥Lots of love"
YykjpeuMNEk4,47,YykjpeuMNEk,ℍ𝕠𝕝𝕒 𝕧
3YqPKLZF_WU0,48,3YqPKLZF_WU,LOVE BTS & COLDPLAY :)
3YqPKLZF_WU1,48,3YqPKLZF_WU,Here in 2023 supporting this AMAZING collab! Love both bands! let’s make it 300 millions and more!💜
3YqPKLZF_WU2,48,3YqPKLZF_WU,The best song
3YqPKLZF_WU3,48,3YqPKLZF_WU,Congrats ooh😊
3YqPKLZF_WU4,48,3YqPKLZF_WU,BTS is my universe🤗🤗🤗🤗🤗🤗💖💜💜💜😊
k4V3Mo61fJM0,49,k4V3Mo61fJM,Esses bixo são foda.👏🏻😍
k4V3Mo61fJM1,49,k4V3Mo61fJM,AMOOO 💥💥🌟❤️
k4V3Mo61fJM2,49,k4V3Mo61fJM,I'm not even a huge Coldplay fan but this song just hits me!
k4V3Mo61fJM3,49,k4V3Mo61fJM,"I can’t fix myself I don’t fit in this world anymore 
Actually I never did …"
k4V3Mo61fJM4,49,k4V3Mo61fJM,"Bit too on point in my present situation. I’m alone in the world. My family and friends have either died or betrayed me. I’m nearing sixty, on disability, and living in my car. The lights won’t guide me home. My home, and everything I love, including my clothes, has been stolen. Weird, isn’t it, how a song you once loved becomes the sing you can’t bear to hear?"
CCHdMIEGaaM0,50,CCHdMIEGaaM,Alguns meses atrás completou um ano que eu virei fã número 1 do daft punk e escuto sem parar as músicas deles
CCHdMIEGaaM1,50,CCHdMIEGaaM,Também ❤alguma informação da minha informação 😊bancária 😊 visto. Não     dormes            comentários feitas ❤
CCHdMIEGaaM2,50,CCHdMIEGaaM,Wee come to far
CCHdMIEGaaM3,50,CCHdMIEGaaM,Me lembra minha infânciazinha❤😊
CCHdMIEGaaM4,50,CCHdMIEGaaM,AaAaaaaameiii
FGBhQbmPwH80,51,FGBhQbmPwH8,❤😂🎉
FGBhQbmPwH81,51,FGBhQbmPwH8,What more can I say the music keeps. Me going
FGBhQbmPwH82,51,FGBhQbmPwH8,We have i little bit time yet...😅
FGBhQbmPwH83,51,FGBhQbmPwH8,He is so 😎 🆒️ 😎 🆒️ 😎 🆒️
FGBhQbmPwH84,51,FGBhQbmPwH8,Que alguien me lleve 14 años atras eso me ase querer esta canción
a5uQMwRMHcs0,52,a5uQMwRMHcs,"Like the music, video is too sad to watch "
a5uQMwRMHcs1,52,a5uQMwRMHcs,Felice di aver ascoltato musica di qualità in vita mia.
a5uQMwRMHcs2,52,a5uQMwRMHcs,сколько любви и боли.. когда нельзя прикоснуться к любимой и видеть её рядом и только в смерть объединит нас
a5uQMwRMHcs3,52,a5uQMwRMHcs,Why does this song grip my soul so damn deeply?!
a5uQMwRMHcs4,52,a5uQMwRMHcs,"It's going to come out in a drumless version, which I really love😮"
CCHdMIEGaaM0,53,CCHdMIEGaaM,Alguns meses atrás completou um ano que eu virei fã número 1 do daft punk e escuto sem parar as músicas deles
CCHdMIEGaaM1,53,CCHdMIEGaaM,Também ❤alguma informação da minha informação 😊bancária 😊 visto. Não     dormes            comentários feitas ❤
CCHdMIEGaaM2,53,CCHdMIEGaaM,Wee come to far
CCHdMIEGaaM3,53,CCHdMIEGaaM,Me lembra minha infânciazinha❤😊
CCHdMIEGaaM4,53,CCHdMIEGaaM,AaAaaaaameiii
