,uri,tracks_id,danceability,energy,key,loudness,mode,speechiness,acousticness,intrumentalness,liveness,valence,tempo,duration_ms,time_signature,analysis_url,track_href
3888,spotify:track:6CPWWdOqJagEYgReKKlkjB,6CPWWdOqJagEYgReKKlkjB,0.351,0.455,7,-12.023,1,0.0285,0.406,0.637,0.324,0.718,86.121,143973,4,https://api.spotify.com/v1/audio-analysis/6CPWWdOqJagEYgReKKlkjB,https://api.spotify.com/v1/tracks/6CPWWdOqJagEYgReKKlkjB
3889,spotify:track:6IgAY6iXT1HjJScOEgTgPx,6IgAY6iXT1HjJScOEgTgPx,0.252,0.156,11,-15.691,0,0.0334,0.656,0.838,0.0992,0.192,70.556,240360,4,https://api.spotify.com/v1/audio-analysis/6IgAY6iXT1HjJScOEgTgPx,https://api.spotify.com/v1/tracks/6IgAY6iXT1HjJScOEgTgPx
3890,spotify:track:014sDq4TiXjrLOAakYrmww,014sDq4TiXjrLOAakYrmww,0.266,0.253,8,-13.849,1,0.0299,0.797,0.937,0.117,0.26,102.071,163107,4,https://api.spotify.com/v1/audio-analysis/014sDq4TiXjrLOAakYrmww,https://api.spotify.com/v1/tracks/014sDq4TiXjrLOAakYrmww
3891,spotify:track:74BWz3GO4VwhOr4ws9Mc1w,74BWz3GO4VwhOr4ws9Mc1w,0.167,0.249,2,-16.128,1,0.0348,0.849,0.828,0.123,0.0898,144.388,228000,4,https://api.spotify.com/v1/audio-analysis/74BWz3GO4VwhOr4ws9Mc1w,https://api.spotify.com/v1/tracks/74BWz3GO4VwhOr4ws9Mc1w
3892,spotify:track:6TAfemeE8Am4BcaCdwMwWh,6TAfemeE8Am4BcaCdwMwWh,0.195,0.257,2,-15.861,1,0.034,0.58,0.702,0.0912,0.263,145.991,155467,3,https://api.spotify.com/v1/audio-analysis/6TAfemeE8Am4BcaCdwMwWh,https://api.spotify.com/v1/tracks/6TAfemeE8Am4BcaCdwMwWh
3893,spotify:track:6tmnlxKx06dO2XPS4Tjazz,6tmnlxKx06dO2XPS4Tjazz,0.27,0.216,0,-16.087,1,0.0324,0.778,0.915,0.286,0.239,75.752,206960,3,https://api.spotify.com/v1/audio-analysis/6tmnlxKx06dO2XPS4Tjazz,https://api.spotify.com/v1/tracks/6tmnlxKx06dO2XPS4Tjazz
3894,spotify:track:6WKfudqqJWnzVtO6nEYQoI,6WKfudqqJWnzVtO6nEYQoI,0.608,0.305,4,-12.744,1,0.0287,0.544,9.02e-06,0.153,0.518,112.881,175560,4,https://api.spotify.com/v1/audio-analysis/6WKfudqqJWnzVtO6nEYQoI,https://api.spotify.com/v1/tracks/6WKfudqqJWnzVtO6nEYQoI
3895,spotify:track:7xlTKvfIjulqYDzs3JyLXW,7xlTKvfIjulqYDzs3JyLXW,0.283,0.417,5,-10.038,0,0.031,0.661,0.913,0.108,0.284,85.142,160027,3,https://api.spotify.com/v1/audio-analysis/7xlTKvfIjulqYDzs3JyLXW,https://api.spotify.com/v1/tracks/7xlTKvfIjulqYDzs3JyLXW
3896,spotify:track:5WTaoiERhGC0YC7k8rPPhY,5WTaoiERhGC0YC7k8rPPhY,0.166,0.249,5,-15.345,1,0.0328,0.406,0.851,0.11,0.363,204.901,199000,4,https://api.spotify.com/v1/audio-analysis/5WTaoiERhGC0YC7k8rPPhY,https://api.spotify.com/v1/tracks/5WTaoiERhGC0YC7k8rPPhY
3897,spotify:track:3nDODsWIPO3xVoeL4dGPBC,3nDODsWIPO3xVoeL4dGPBC,0.302,0.276,11,-14.529,0,0.0281,0.432,0.813,0.201,0.224,85.712,162027,4,https://api.spotify.com/v1/audio-analysis/3nDODsWIPO3xVoeL4dGPBC,https://api.spotify.com/v1/tracks/3nDODsWIPO3xVoeL4dGPBC
